Time,x_d,y_d,theta_d,v_,delta_
16.9140951,-0.9755882,-5.9955202,-2.3250248,0.7041277,0.0143505
16.9641368,-0.9996586,-6.0211836,-2.3233143,0.7022456,0.0148183
17.0141785,-1.0236191,-6.0468189,-2.3215532,0.7003195,0.0152939
17.0642202,-1.0474672,-6.0724255,-2.319741,0.6983498,0.0157777
17.1142619,-1.0712003,-6.0980027,-2.3178773,0.6963369,0.0162699
17.1643036,-1.0948156,-6.1235496,-2.3159614,0.694281,0.0167709
17.2143453,-1.1183108,-6.1490658,-2.3139928,0.6921827,0.0172809
17.264387,-1.141683,-6.1745504,-2.3119709,0.6900422,0.0178002
17.3144287,-1.1649299,-6.2000027,-2.3098951,0.6878601,0.0183293
17.3644704,-1.1880488,-6.2254221,-2.3077648,0.6856366,0.0188683
17.4145121,-1.2110372,-6.2508078,-2.3055793,0.6833723,0.0194178
17.4645538,-1.2338926,-6.2761592,-2.303338,0.6810676,0.019978
17.5145955,-1.2566125,-6.3014755,-2.3010401,0.678723,0.0205493
17.5646372,-1.2791943,-6.3267561,-2.2986851,0.6763388,0.0211321
17.6146789,-1.3016356,-6.3520002,-2.2962721,0.6739155,0.0217268
17.6647206,-1.3239339,-6.3772073,-2.2938005,0.6714537,0.0223337
17.7147623,-1.3460868,-6.4023765,-2.2912694,0.6689538,0.0229534
17.764804,-1.3680919,-6.4275072,-2.2886781,0.6664164,0.0235861
17.8148457,-1.3899466,-6.4525987,-2.2860259,0.6638418,0.0242324
17.8648874,-1.4116487,-6.4776503,-2.2833118,0.6612308,0.0248927
17.9149291,-1.4331957,-6.5026613,-2.280535,0.6585837,0.0255674
17.9649708,-1.4545853,-6.5276311,-2.2776946,0.6559011,0.0262571
